Week,DC,SKU,Start,Arrivals,Demand,End
1.0,North,Regular,5000,14250.0,14250.0,5000
1.0,North,Diet,5000,9750.0,9750.0,5000
1.0,South,Regular,5000,12000.0,12000.0,5000
1.0,South,Diet,5000,8250.0,8250.0,5000
2.0,North,Regular,5000,18750.0,18750.0,5000
2.0,North,Diet,5000,12750.0,12750.0,5000
2.0,South,Regular,5000,15000.0,15000.0,5000
2.0,South,Diet,5000,10500.0,10500.0,5000
3.0,North,Regular,5000,18750.0,18750.0,5000
3.0,North,Diet,5000,12750.0,12750.0,5000
3.0,South,Regular,5000,15000.0,15000.0,5000
3.0,South,Diet,5000,9750.0,9750.0,5000
4.0,North,Regular,5000,18000.0,18000.0,5000
4.0,North,Diet,5000,12000.0,12000.0,5000
4.0,South,Regular,5000,15000.0,15000.0,5000
4.0,South,Diet,5000,9750.0,9750.0,5000
